OGD_ID,LOK_NR,LOK_TEXT,LOK_STATUS,LOK_ART,LOK_GEOMETRIE
LOKALISATION_252,1656,Rosengasse,1,1,POINT (8.54317536 47.37317250)
LOKALISATION_253,1140,Köngengasse,1,1,POINT (8.54332639 47.37374301)
LOKALISATION_254,708,Graue Gasse,1,1,POINT (8.54311803 47.37356488)
LOKALISATION_255,606,Froschaugasse,1,1,POINT (8.54475771 47.37317839)
LOKALISATION_256,112,Auf der Mauer,1,1,POINT (8.54481505 47.37776248)
LOKALISATION_257,987,Im Stadtgraben,1,1,POINT (8.54340933 47.37770672)
LOKALISATION_258,351,Central,1,2,POINT (8.54352541 47.37687677)
LOKALISATION_259,1239,Leonhardshalde,1,1,POINT (8.54520654 47.37739874)
LOKALISATION_260,1771,Schoeckstrasse,1,1,POINT (8.54547743 47.36654874)
LOKALISATION_261,827,Heimstrasse,1,1,POINT (8.54785535 47.37123525)
LOKALISATION_262,1107,Kirchgasse,1,1,POINT (8.54538199 47.37033335)
LOKALISATION_263,2069,Untere Zäune,1,1,POINT (8.54602746 47.37148715)
LOKALISATION_264,1474,Obere Zäune,1,1,POINT (8.54592360 47.37104028)
LOKALISATION_265,1775,Schönberggasse,1,1,POINT (8.54922928 47.37398822)
LOKALISATION_266,865,Hirschengraben,1,1,POINT (8.54670570 47.37398304)
LOKALISATION_267,1839,Seilergraben,1,1,POINT (8.54663267 47.37383551)
LOKALISATION_268,1155,Krähbühlweg,1,1,POINT (8.56970265 47.37829258)
LOKALISATION_269,1021,Irisstrasse,1,1,POINT (8.55556633 47.37182466)
LOKALISATION_270,778,Hanslinweg,1,1,POINT (8.56863150 47.39152958)
LOKALISATION_271,1428,Nägelistrasse,1,1,POINT (8.55597206 47.37480413)
LOKALISATION_272,687,Gloriastrasse,1,1,POINT (8.55694998 47.37573973)
LOKALISATION_273,1540,Phönixweg,1,1,POINT (8.55282532 47.37373291)
LOKALISATION_274,2234,Zederstrasse,1,1,POINT (8.55342299 47.37407391)
LOKALISATION_275,1766,Schneckenmannstrasse,1,1,POINT (8.55968221 47.37526074)
LOKALISATION_276,762,Häldeliweg,1,1,POINT (8.55473578 47.37711112)
LOKALISATION_277,1911,St. Annagasse,1,1,POINT (8.53634229 47.37335759)
LOKALISATION_278,1608,Rennweg,1,1,POINT (8.53900025 47.37372940)
LOKALISATION_279,1838,Seidengasse,1,1,POINT (8.53789940 47.37426271)
LOKALISATION_280,147,Bahnhofplatz,1,2,POINT (8.53871241 47.37755028)
LOKALISATION_281,660,Gessnerallee,1,1,POINT (8.53698904 47.37688583)
LOKALISATION_282,1293,Löwenstrasse,1,1,POINT (8.53797030 47.37658688)
LOKALISATION_283,881,Hofackerstrasse,1,1,POINT (8.56690800 47.36226483)
LOKALISATION_284,1046,Jupiterstrasse,1,1,POINT (8.56356048 47.36490606)
LOKALISATION_285,871,Hirslanderstrasse,1,1,POINT (8.57179956 47.36018615)
LOKALISATION_286,599,Fröbelstrasse,1,1,POINT (8.56778364 47.35987717)
LOKALISATION_287,1843,Sempacherstrasse,1,1,POINT (8.56661706 47.36301806)
LOKALISATION_288,445,Eierbrechtstrasse,1,1,POINT (8.57677408 47.36002774)
LOKALISATION_289,2146,Wehrenbachhalde,1,1,POINT (8.57824067 47.35723958)
LOKALISATION_290,2136,Waserstrasse,1,1,POINT (8.58152249 47.35830305)
LOKALISATION_291,231,Birchplatz,1,2,POINT (8.53772543 47.40956615)
LOKALISATION_292,353,Chaletweg,1,1,POINT (8.53226244 47.41264593)
LOKALISATION_293,1312,Maienstrasse,1,1,POINT (8.52963090 47.41031153)
LOKALISATION_294,1629,Rieterstrasse,1,1,POINT (8.52642381 47.35322330)
LOKALISATION_295,51,Altstetterplatz,1,2,POINT (8.48841490 47.39126894)
